Well,Luminescence (398 nm),Luminescence (413 nm),Luminescence (428 nm),Luminescence (443 nm),Luminescence (458 nm),Luminescence (473 nm),Luminescence (488 nm),Luminescence (503 nm),Luminescence (518 nm),Luminescence (533 nm),Luminescence (548 nm),Luminescence (563 nm),Luminescence (578 nm),Luminescence (593 nm),Luminescence (608 nm),Luminescence (623 nm),Luminescence (638 nm),Luminescence (653 nm),Type,Compound,Protein
G5,116,116,82,37,38,95,440,2720,12256,37656,69486,84622,83606,65137,55734,33113,26031,15398,Screen,A24,PIM1
G6,136,138,85,45,60,115,495,2887,13349,40843,76035,91114,90734,71345,60987,36154,28372,16746,Screen,A24,PIM1
G7,102,97,57,29,40,91,335,2183,9900,30575,57745,69730,69825,54242,46182,27992,22015,13038,Screen,A25,PIM1
G8,95,111,58,29,34,82,320,2158,9978,30220,57566,69418,68955,53990,45963,27675,21412,13228,Screen,A25,PIM1
G9,105,97,58,24,46,85,314,2016,9346,29263,54800,66695,66118,51721,44499,26850,20717,12182,Screen,A25,PIM1
G10,105,109,61,33,39,86,364,2390,10416,31449,58928,70286,69776,54847,46979,28286,21802,12947,Screen,A26,PIM1
G11,145,149,94,50,68,138,538,3279,14564,45061,83111,100582,100019,78485,66522,39538,30668,18297,Screen,A26,PIM1
H1,150,165,95,43,60,141,556,3468,15345,47038,87565,105427,104819,81831,70222,42317,32409,19385,Screen,A27,PIM1
H2,127,117,82,40,56,122,481,2780,12677,38762,72238,87118,86450,67310,58270,34725,26923,16054,Screen,A27,PIM1
H4,39,36,29,12,19,32,147,814,3664,11168,20757,25073,24937,19591,16602,9801,7613,4545,Screen,A28,PIM1
H7,127,127,71,31,49,103,426,2567,11812,35537,66715,80125,80016,62092,53565,31705,24764,14644,Screen,A29,PIM1
H10,105,107,68,35,38,89,398,2469,11036,34227,63157,76262,75970,59938,50507,30833,23525,13840,Screen,A30,PIM1
